"Code","Categorie","Nom fédération","Nom catégorie"
"fede.101",1,"Fédération Française d'athlétisme","Fédération unisport olympique"
"fede.102",1,"Fédération Française des sociétés d'aviron","Fédération unisport olympique"
"fede.103",1,"Fédération Française de badminton","Fédération unisport olympique"
"fede.105",1,"Fédération Française de basketball","Fédération unisport olympique"
"fede.106",1,"Fédération Française de boxe","Fédération unisport olympique"
"fede.107",1,"Fédération Française de canoë-kayak","Fédération unisport olympique"
"fede.108",1,"Fédération Française de cyclisme","Fédération unisport olympique"
"fede.109",1,"Fédération Française d'équitation","Fédération unisport olympique"
"fede.110",1,"Fédération Française d'escrime","Fédération unisport olympique"
"fede.111",1,"Fédération Française de football","Fédération unisport olympique"
"fede.112",1,"Fédération Française des sports de glace","Fédération unisport olympique"
"fede.113",1,"Fédération Française de gymnastique","Fédération unisport olympique"
"fede.114",1,"Fédération Française d’haltérophilie - musculation","Fédération unisport olympique"
"fede.115",1,"Fédération Française de handball","Fédération unisport olympique"
"fede.116",1,"Fédération Française de hockey","Fédération unisport olympique"
"fede.117",1,"Fédération Française de judo-jujitsu, kendo et disciplines associées","Fédération unisport olympique"
"fede.118",1,"Fédération Française de lutte","Fédération unisport olympique"
"fede.119",1,"Fédération Française de natation","Fédération unisport olympique"
"fede.120",1,"Fédération française de pentathlon moderne","Fédération unisport olympique"
"fede.121",1,"Fédération Française de ski","Fédération unisport olympique"
"fede.122",1,"Fédération Française de taekwondo et disciplines associées","Fédération unisport olympique"
"fede.123",1,"Fédération Française de tennis","Fédération unisport olympique"
"fede.124",1,"Fédération Française de tennis de Table","Fédération unisport olympique"
"fede.125",1,"Fédération Française de tir","Fédération unisport olympique"
"fede.126",1,"Fédération Française de tir à l'arc","Fédération unisport olympique"
"fede.127",1,"Fédération Française de triathlon","Fédération unisport olympique"
"fede.128",1,"Fédération Française de voile","Fédération unisport olympique"
"fede.129",1,"Fédération Française de volleyball","Fédération unisport olympique"
"fede.131",1,"Fédération Française de hockey sur glace","Fédération unisport olympique"
"fede.132",1,"Fédération Française de golf","Fédération unisport olympique"
"fede.133",1,"Fédération Française de rugby","Fédération unisport olympique"
"fede.134",1,"FF de karaté et disciplines associées","Fédération unisport olympique"
"fede.135",1,"FF de la montagne et de l'escalade","Fédération unisport olympique"
"fede.136",1,"FF de roller et skateboard","Fédération unisport olympique"
"fede.137",1,"FF de surf","Fédération unisport olympique"
"fede.138",1,"FF de baseball et softball","Fédération unisport olympique"
"fede.201",2,"Fédération Française d'aéromodélisme","Fédération unisport non olympique"
"fede.202",2,"Fédération Nationale aéronautique","Fédération unisport non olympique"
"fede.203",2,"Fédération Française d'aérostation","Fédération unisport non olympique"
"fede.204",2,"Fédération Française d'aïkido, aïkibudo et affinitaires","Fédération unisport non olympique"
"fede.205",2,"Fédération Française d'aïkido et de budo","Fédération unisport non olympique"
"fede.206",2,"Fédération Française du sport automobile","Fédération unisport non olympique"
"fede.207",2,"Fédération Française de jeu de balle au tambourin","Fédération unisport non olympique"
"fede.208",2,"Fédération Française de ballon au poing","Fédération unisport non olympique"
"fede.209",2,"Fédération Française de ball-trap","Fédération unisport non olympique"
"fede.210",2,"Fédération Française de billard","Fédération unisport non olympique"
"fede.211",2,"Fédération Française du sport boules","Fédération unisport non olympique"
"fede.212",2,"Fédération Française de savate, boxe française et disciplines associées","Fédération unisport non olympique"
"fede.213",2,"Fédération Française de bowling et de sports de quilles","Fédération unisport non olympique"
"fede.214",2,"Fédération Française de char à voile","Fédération unisport non olympique"
"fede.215",2,"Fédération Française de la course camarguaise","Fédération unisport non olympique"
"fede.216",2,"Fédération Française de la course landaise","Fédération unisport non olympique"
"fede.217",2,"Fédération Française de course d'orientation","Fédération unisport non olympique"
"fede.218",2,"Fédération Française de cyclotourisme","Fédération unisport non olympique"
"fede.219",2,"Fédération Française de danse","Fédération unisport non olympique"
"fede.220",2,"Fédération Française des échecs","Fédération unisport non olympique"
"fede.221",2,"Fédération Française d'études et sports sous-marins","Fédération unisport non olympique"
"fede.222",2,"Fédération Française de football américain","Fédération unisport non olympique"
"fede.224",2,"Fédération Française de giraviation","Fédération unisport non olympique"
"fede.226",2,"Fédération Française de javelot tir sur cible","Fédération unisport non olympique"
"fede.227",2,"Fédération Française de jeu de paume","Fédération unisport non olympique"
"fede.228",2,"Fédération Française de joutes et sauvetage nautique","Fédération unisport non olympique"
"fede.231",2,"Fédération Française de longue paume","Fédération unisport non olympique"
"fede.233",2,"Fédération Française de motocyclisme","Fédération unisport non olympique"
"fede.234",2,"Fédération Française motonautique","Fédération unisport non olympique"
"fede.237",2,"Fédération Française de parachutisme","Fédération unisport non olympique"
"fede.241",2,"Fédération Française de pelote basque","Fédération unisport non olympique"
"fede.242",2,"Fédération Française de pétanque et jeu provençal","Fédération unisport non olympique"
"fede.243",2,"Fédération Française de planeur ultra-léger motorisé","Fédération unisport non olympique"
"fede.244",2,"Fédération Française de Pulka et Traîneau à Chiens","Fédération unisport non olympique"
"fede.245",2,"Fédération Française de la randonnée pédestre","Fédération unisport non olympique"
"fede.248",2,"Fédération Française de rugby à XIII","Fédération unisport non olympique"
"fede.249",2,"Fédération Française de sauvetage et secourisme","Fédération unisport non olympique"
"fede.250",2,"Fédération Française de ski nautique","Fédération unisport non olympique"
"fede.251",2,"Fédération Française de spéléologie","Fédération unisport non olympique"
"fede.252",2,"Fédération Française de squash","Fédération unisport non olympique"
"fede.254",2,"Fédérationdes arts énergétiques et martiaux chinois","Fédération unisport non olympique"
"fede.255",2,"Fédération Française des sports de traîneau, de ski pulka et de cross canins ","Fédération unisport non olympique"
"fede.256",2,"Fédération Française de twirling bâton","Fédération unisport non olympique"
"fede.257",2,"Fédération Française de vol à voile","Fédération unisport non olympique"
"fede.258",2,"Fédération Française de vol libre","Fédération unisport non olympique"
"fede.260",2,"Fédération française de polo","Fédération unisport non olympique"
"fede.261",2,"Fédération française de kick boxing, muay thaï et disciplines associées","Fédération unisport non olympique"
"fede.263",2,"Fédération Française de double dutch","Fédération unisport non olympique"
"fede.264",2,"Fédération Flying Disc France","Fédération unisport non olympique"
"fede.265",2,"Fédération nautique de pêche sportive en apnée","Fédération unisport non olympique"
"fede.266",2,"Fédération de force","Fédération unisport non olympique"
"fede.267",2,"Fédération Française des pêches sportives","Fédération unisport non olympique"
"fede.401",4,"Fédération Française des clubs alpins et de montagne","Fédération multisports affinitaire"
"fede.402",4,"Fédération Française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"fede.403",4,"Fédération Française sports pour tous","Fédération multisports affinitaire"
"fede.404",4,"Fédération Française de la retraite sportive","Fédération multisports affinitaire"
"fede.405",4,"Fédération Française du sport travailliste","Fédération multisports affinitaire"
"fede.406",4,"Fédération des clubs de la Défense","Fédération multisports affinitaire"
"fede.407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"fede.408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"fede.409",4,"Fédération Française Maccabi","Fédération multisports affinitaire"
"fede.410",4,"Fédération sportive et gymnique du travail","Fédération multisports affinitaire"
"fede.411",4,"Fédération sportive de la Police Nationale","Fédération multisports affinitaire"
"fede.413",4,"Union Française des oeuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
"fede.414",4,"Union nationale des centres sportifs de plein air (UCPA)","Fédération multisports affinitaire"
"fede.415",4,"Fédération Française omnsisports des personnels de l'éducation nationale et jeunesse et sports","Fédération multisports affinitaire"
"fede.417",4,"Union Nationale Sportive Léo Lagrange","Fédération multisports affinitaire"
"fede.418",4,"Fédération Française du sport d'entreprise","Fédération multisports affinitaire"
"fede.420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"fede.421",4,"Fédération Française des sports populaires","Fédération multisports affinitaire"
"fede.501",5,"Fédération Française handisport","Fédération multisports sport et handicap"
"fede.503",5,"Fédération Française du sport adapté","Fédération multisports sport et handicap"
"fede.601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"fede.602",6,"Fédération sportive éducative de l'enseignement catholique (UGSEL)","Fédération multisports scolaire ou universitaire"
"fede.603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"fede.604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"fede.605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
